,question,explanation,answer,index
1295,"A wire pair has a length of 1.4 km and is connected to a receiver, as illustrated in Fig. 12.1.  (DIAGRAM)  The constant noise power in the wire pair is 3.8 ?? 10? ?8 W. For an input signal to the wire pair of 3.0 ?? 10? ?3 W, the signal-to-noise ratio at the receiver is 25 dB. Calculate the attenuation per unit length for the wire pair.  attenuation per unit length = ........................... dB km? ?1 [4]",  (DIAGRAM)   (DIAGRAM)  ,attenuation per unit length = 1/L ?? 10 lg(P2/P1) signal power at receiver = 102.5 ?? 3.8 ?? 10? ?8?? ?? = 1.2 ?? 10? ?5W attenuation in wire pair = 10lg({3.0 ?? 10? ?3}/{1.2 ?? 10? ?5}) ?? = 24dB attenuation per unit length = 24/1.4 ?? = 17 dBkm? ?1 (other correct methods of calculation are possible) C1  C1  C1  A1   [4],"(422, 'b')"
1296,"A signal that is transmitted over a long distance will be attenuated and it will pick up noise.State what is meant by  attenuation, ......................................................................[1]",  attenuation: A reduction in signal power due to loss of energy in travelling away from the transmitter.,loss of (signal) power?? B1 [1],"(424, 'a.i')"
1297,A signal that is transmitted over a long distance will be attenuated and it will pick up noise.State what is meant by  noise. ......................................................................[2],  noise: Any unwanted random power associated with a signal.,unwanted power (on signal)?? that is random M1 A1 [2],"(424, 'a.ii')"
1298,A signal that is transmitted over a long distance will be attenuated and it will pick up noise.Explain why regenerator amplifiers do not amplify the noise that has been picked up on digital signals. ................................................................................[2],A digital signal consists of two logic levels i.e. 1 or 0. A regenerator recognises and then removes the variation (noise) in these levels and increases the signal strength.,"for digital, only the 'high' and the 'low' / 1 and 0 are necessary variation between 'highs' and 'lows' caused by noise not required M1 A1 [2]","(424, 'b')"
1299,"A signal that is transmitted over a long distance will be attenuated and it will pick up noise.A transmitter on Earth produces a signal of power 2.4 kW. This signal, when received by a satellite, is attenuated by 195 dB. Calculate the signal power received by the satellite.  power = ............................................. W [3]", (DIAGRAM) ,attenuation = 10lg(P2 / P1) either?? 195 = 10lg({2.4 ?? 103} / P) or?? ? ?195 = 10lg(P / 2.4 ?? 103) P = 7.6 ?? 10? ?17W C1  C1 A1 [3],"(424, 'c')"
1300,Outline the principles of the use of a geostationary satellite for communication on Earth. .........................................................................[4],"A transmitting station at Earth directs a carrier wave towards the satellite. The satellite receives this attenuated signal, amplifies it and changes the carrier frequency to a lower value before directing it to a receiver back to Earth. The two different carrier frequencies prevent the swamping of uplink signal e.g. typically 6/4 GHz, 14/11 GHz or 30/20 GHz wave bands are used.","(carrier wave) transmitted from Earth to satellite (1) satellite receives greatly attenuated signal (1) signal amplified and transmitted back to Earth at a different (carrier) frequency different frequencies prevent swamping of uplink signal (1) e.g. of frequencies used (6/4GHz, 14/11GHz, 30/20GHz) (1) (two B1 marks plus any two other for additional physics)   B1 B1   B2 [4]","(428, 'a')"
1301,Polar-orbiting satellites are also used for communication on Earth. State and explain one advantage and one disadvantage of polar-orbiting satellites as compared with geostationary satellites.  advantage: ............................................................... disadvantage: ......................................................... [4],advantage: Polar satellites are in low orbits so there is a very short time delay between transmission and receipt of a signal. disadvantage: Polar satellites must be tracked and a greater number of satellites are required for a continuous operation. Other advantage be a network of such satellites maintain continuous links for the coverage of whole Earth.,advantage: e.g. much shorter time delay ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? because orbits are much lower ?? e.g. whole Earth may be covered ?? ?? ?? ?? ??in several orbits / with network M1 A1 (M1) (A1) [4] disadvantage: e.g. either must be tracked ?? or limited use in any one orbit ?? more satellites required for continuous operation M1 A1,"(428, 'b')"
1302,The variation with time of the signal transmitted from an aerial is shown in Fig. 11.1.  (DIAGRAM)State the name of this type of modulated transmission. ................................................................... [1],Amplitude modulation (AM),amplitude modulation ? ?? ?(allow AM) B1 [1],"(430, 'a')"
1303,"The variation with time of the signal transmitted from an aerial is shown in Fig. 11.1.  (DIAGRAM)Use Fig.11.1 to determine the frequency of  the carrier wave,  frequency = ........................................... Hz [2]",   (DIAGRAM)  ?????frequency = 105 Hz,frequency = 1 / period ?? ?? ?? ?? ?? ?? ?? ?? ??= 100 kHz C1 A1 [2],"(430, 'b.i')"
1304,The variation with time of the signal transmitted from an aerial is shown in Fig. 11.1.  (DIAGRAM)Use Fig.11.1 to determine the frequency of  the information signal.  frequency = ........................................... Hz [1],  frequency = 10 ?? 103 Hz,frequency = 10 kHz A1 [1],"(430, 'b.ii')"
1305,"The variation with time of the signal transmitted from an aerial is shown in Fig. 11.1.  (DIAGRAM)  On the axes of Fig.11.2, draw the frequency spectrum (the variation with frequency of the signal voltage) of the signal from the aerial. Mark relevant values on the frequency axis. [3]  (DIAGRAM) ",   (DIAGRAM) ,vertical line at 100 kHz vertical lines at 90 kHz and 110 kHz lines at 90 kHz and 110 kHz same length and shorter than at 100 kHz B1 B1 B1 [3],"(430, 'c.i')"
1306,The variation with time of the signal transmitted from an aerial is shown in Fig. 11.1.  (DIAGRAM)  Determine the bandwidth of the signal.  bandwidth = ........................................... Hz [1],  Bandwidth = 2fa = 2(10 ?? 103) = 20 ?? 103 Hz,20 kHz B1 [1],"(430, 'c.ii')"
1307,"A signal is to be transmitted along a cable system of total length 125 km. The cable has an attenuation of 7 dB km-1. ??Amplifiers, each having a gain of 43 dB, are placed at 6 km intervals along the cable, as illustrated in Fig.12.1.  (DIAGRAM)State what is meant by the attenuation of a signal. .................................................................................. [1]",A reduction in signal power due to loss of energy is called attenuation.,loss / reduction in power / energy / voltage/ amplitude (of the signal)?? B1 [1],"(431, 'a')"
1308,"A signal is to be transmitted along a cable system of total length 125 km. The cable has an attenuation of 7 dB km-1. ??Amplifiers, each having a gain of 43 dB, are placed at 6 km intervals along the cable, as illustrated in Fig.12.1.  (DIAGRAM)Calculate  the total attenuation caused by the transmission of the signal along the cable,  attenuation = ......................................... dB [1]",  1 km of cable suffer attenuation = 7 dB 125 km of cable suffer attenuation = 125 ?? 7 = 875 dB,attenuation = 125 ?? 7 = 875 dB A1 [1],"(431, 'b.i')"
1309,"A signal is to be transmitted along a cable system of total length 125 km. The cable has an attenuation of 7 dB km-1. ??Amplifiers, each having a gain of 43 dB, are placed at 6 km intervals along the cable, as illustrated in Fig.12.1.  (DIAGRAM)Calculate  the total signal gain as a result of amplification by all of the amplifiers along the cable.  gain = ......................................... dB [1]",  Number of amplifiers in 125 km cable = 125 / 6??= 20.8 i.e. 20 amplifiers. Gain of 1 amplifier = 43 dB Gain of 20 amplifiers = 43 ?? 20 = 860 dB,20 amplifiers gain = 20 ?? 43 = 860 dB A1 [1],"(431, 'b.ii')"
1310,"A signal is to be transmitted along a cable system of total length 125 km. The cable has an attenuation of 7 dB km-1. ??Amplifiers, each having a gain of 43 dB, are placed at 6 km intervals along the cable, as illustrated in Fig.12.1.  (DIAGRAM)The input Signal has a power of 450 mW. Use your answers in (b) to calculate the output power of the signal as it leaves the cable system.  power = ....................................... mW [3]",?? Resultant Gain  = (Gain of 20 Amplifiers) - (Attenuation) = 860 - 875  = -15  (DIAGRAM) ,gain = 10 lg(P1/P2) overall gain = ? ?15 dB / attenuation is 15 dB ? ?15 = 10 lg(P / 450) P = 14 mW C1 C1  A1 [3],"(431, 'c')"
1311,"Fig. 10.1 shows the variation with frequency f of the power P of a radio signal.  (DIAGRAM)State the name of  the type of modulation of this radio signal, ........................................................................[1]",  Amplitude modulation,amplitude (modulated) (allow 'AM') B1 [1],"(434, 'a.i')"
1312,"Fig. 10.1 shows the variation with frequency f of the power P of a radio signal.  (DIAGRAM)State the name of  the component of frequency 50 kHz, ........................................................................[1]",  Carrier wave,carrier (frequency / wave) B1 [1],"(434, 'a.ii')"
1313,Fig. 10.1 shows the variation with frequency f of the power P of a radio signal.  (DIAGRAM)State the name of  the components of frequencies 45 kHz and 55 kHz. ........................................................................[1],  Sideband frequencies,sideband (frequency) B1 [1],"(434, 'a.iii')"
1314,Fig. 10.1 shows the variation with frequency f of the power P of a radio signal.  (DIAGRAM)State the bandwidth of the radio signal.  bandwidth = ...........................................kHz [1],??bandwidth = 10 kHz,10 kHz B1 [1],"(434, 'b')"
1315,"Fig. 10.1 shows the variation with frequency f of the power P of a radio signal.  (DIAGRAM)On the axes of Fig.10.2, sketch a graph to show the variation with time t of the signal voltage of Fig.10.1. [3]  (DIAGRAM) ", (DIAGRAM) ,sketch: general shape i.e. any wave that is amplitude modulated correct period for modulating waveform (200 ??s) correct period for carrier waveform (20 ??s) M1 A1 A1 [3],"(434, 'c')"
1316,  State what is meant by the acoustic impedance of a medium.  .................................................................................................................................. .............................................................................................................................[1]  ,  Product of density of a medium and the speed of sound wave in it. Z = ??c,density ?? speed of wave (in the medium) B1 [1],"(437, 'a.i')"
1317,  Data for some media are given in Fig. 10.1.   (DIAGRAM)  Use data from Fig. 10.1 to calculate a value for the density of bone.     density = .................................... kg m? ?3?? [1]  ,  ?? ?? ?? ?? ?? ????Z = ??c 7.0 ?? 106 = ??(4100) ?? ?? ?? ?? ?? ?? ???? = 1.71 ?? 103 kgm-3,?? = (7.0 ?? 106) / 4100?? ?? = 1700kgm? ?3 A1 [1],"(437, 'a.ii')"
