,Prompt
970,Draw a straight line from the refracted ray at P to the exit point on the opposite face.
971,"At the second surface, draw the ray bending away from the normal. The angle of refraction in air should be larger than the angle of incidence in glass."
972,"1. Incident ray in air approaches point P.  
2. At P, refracted ray bends sharply toward the normal into the glass.  
3. Straight ray through the glass.  
4. At the exit point, refracted ray bends away from the normal into the air.  
"
973,"Imagine parallel straight wave crests approaching a barrier with a slit. After passing through the slit, the crests form semi-circular patterns spreading outward."
974,"A vertical container with an arrow labeled ""heat source"" at the base. Arrows inside show heated water rising from the bottom to the top, then cooling and sinking down the sides, forming a circular convection current. Label ""less dense hot water"" at the top and ""denser cold water"" at the bottom."
975,"** Sketch 10+ small circles randomly distributed. Ensure irregular spacing—some close, some far—with no clustering. Emphasize large gaps between particles to show low density. Particles must not touch or form patterns.**"
976,"Sketch showing a road sign with a wider, heavier base compared to the original. Arrows indicate a lower centre of mass and extended base edges."
977,"A grid of dots representing atoms, with arrows showing small back-and-forth vibrations around fixed points. The dots are evenly spaced in rows and columns, emphasizing the ordered structure."
978,"A simple sketch showing particles in a grid. At higher temperature, arrows indicating vigorous vibrations and larger gaps between particles. At lower temperature, smaller vibration arrows and reduced gaps."
979,"A solenoid with coils wrapped around a core. Current arrows on the coils show the flow direction. Label ""X"" is at one end of the core. Applying the right-hand rule: fingers follow current arrows, thumb points to X, confirming it as the north pole."
980,"Add the letter ""R"" in the angle formed by the reflected ray and the normal, matching the position and style of the existing angle label for the incident ray. Ensure ""R"" is clear and unambiguous."
981,"A plane mirror with a normal line drawn perpendicular to its surface. An incident ray approaches the mirror at 40° to the normal, and the reflected ray leaves the mirror at 40° to the normal on the opposite side."
982,Continue this ray from the lens in a straight line through F₂ and beyond.
983,Extend this ray in a straight line beyond the lens without bending.
984,Mark the point where the ray through F₂ and the undeviated ray cross. This point is the top of the image. Draw a vertical arrow from the principal axis to this point to represent the image.
985,"From the principal axis, draw a vertical arrow ending at the intersection point of the two refracted rays. The arrow should be perpendicular to the principal axis, with its tail on the axis and head at the intersection. If the top of the object is above the axis, the image will be inverted, so the arrow points downward."
986,A triangular prism with a white light ray entering from the left. The emergent ray fans out into a spectrum. Label X at the red end and Z at the violet end. Arrows show the sequence of colours: red → orange → yellow → green → blue → indigo → violet.
987,"Sketch showing four identical rods clamped horizontally, heated at one end. Each rod has a uniform wax coating. Labels indicate materials and a ruler beside each rod to measure melted wax length."
988,"A container with gas, sealed by a movable piston. An arrow labeled ""30 N"" points inward toward the piston, indicating the force direction. The piston moves inward by 0.18 m, shown with a dashed outline at the initial position and solid at the final position."
989,"Fig. 1.1 would show a speed-time graph with three labeled sections: R, S, T. At S, the line is horizontal; at T, the line slopes downward."
990,"A converging lens focuses light from an object onto a screen. The screen has graph paper attached, showing clear grid lines. The image is formed directly on the grid, and its height spans from the 2.0 cm to 5.0 cm marks, indicating a height of 3.0 cm without any obstruction."
991,"Draw a rectangle to represent the resistor. Add an arrow pointing diagonally across the rectangle, touching its center. The arrow should be at approximately 45 degrees to the rectangle's sides, indicating the adjustable contact point."
992,"Sketch showing a lens, an object on one side, and a screen being moved along the optical axis. Arrows indicate slow back-and-forth motion of the screen. Light rays converge at the sharp image point."
993,"A simple sketch showing a lens, light rays forming an image on a translucent screen, and a ruler placed behind the screen to measure the image height without blocking light."
994,"Imagine the Earth at the center. Position A has the Moon to the left of Earth; position E has it to the right. Sunlight comes from one side, illuminating half of each Moon."
995,"Position G is farthest from the Sun, with Earth between the Sun and Moon. The Moon appears fully lit from Earth's perspective."
996,"** On Fig. 8.1, draw curved lines emerging from the north pole and entering the south pole. Add arrows on the lines pointing away from N and toward S. Show lines closer near the poles and spreading out farther away. Include dots and arrows from compass positions to demonstrate the tracing process."
997,Fig. 7.1 shows a converging lens with an object placed close to it. Rays from the object pass through the lens and converge. The focal point is clearly marked 2 grid units to the right of the lens center. The grid scale is labeled: 1 unit = 5 cm.
998,"A horizontal arrow labeled ""direction of wave propagation"" with perpendicular up/down arrows labeled ""particle vibration"" along its length."
999,"A simple sketch showing molecules in a solid lattice with bonds, then breaking bonds with ""energy input"" arrows, and finally molecules moving freely in a liquid."
1000,"Sketch two containers side-by-side. Left: Liquid state with closely spaced molecules, arrows showing short, curved paths and clusters sliding. Right: Gas state with widely spaced molecules, arrows showing long, straight paths in random directions."
1001,"Sketch two identical beakers side by side. Label the first: ""Lid on top, no side insulation"". Label the second: ""No lid, insulation wrapped around sides"". Show thermometers in both beakers and a clock indicating equal time intervals."
1002,"Sketch showing two identical beakers of water, one at 80°C and one at 60°C in the same room. Arrows indicate heat flow away from both, with thicker arrows for the 80°C beaker to represent faster cooling."
